PropName,Borough,System,Type of Water Feature
Jamaica Gateway Park,Q,Q506-SPRAY0755,Spray Shower
Harry Maze Playground,B,B285-SPRAY0153,Spray Shower
Auburndale Playground,Q,Q397-SPRAY0513,Spray Shower
Veterans Grove,Q,Q013-SPRAY0745,Spray Shower
Tompkins Square Park,M,M088-03-SPRAY0280,Spray Shower
Kaiser Park,B,B129-01-SPRAY064,Spray Shower
General Hart Playground,Q,Q067A-SPRAY0392,Spray Shower
Fermi Playground,B,B334-SPRAY0184,Spray Shower
Rufus King Park,Q,Q023-01-SPRAY0379,Spray Shower
Noble Playground,X,X123-SPRAY0622,Spray Shower
Lt. Lia Playground,R,R111-SPRAY0562,Spray Shower
Police Officer Edward Byrne Park,Q,Q092-SPRAY0397,Spray Shower
Marcus Garvey Park,M,M058-ZN02-SPRAY0259,Spray Shower
Van Voorhees Playground,B,B050-SPRAY020,Spray Shower
Nostrand Playground,B,B250-SPRAY0131,Spray Shower
Classon Playground,B,B293-SPRAY0158,Spray Shower
Givan Square,X,X187-01-SPRAY0658,Spray Shower
McLaughlin Park,B,B061-SPRAY030,Spray Shower
Bath Beach Park,B,B164-SPRAY085,Spray Shower
Rockaway Beach Boardwalk,Q,Q163-ZN07A-SPRAY0429,Spray Shower
Central Park,M,M010-048-SPRAY0213,Spray Shower
Latimer Playground,Q,Q402-SPRAY0518,Spray Shower
Saul Weprin Playground,Q,Q293-SPRAY0442,Spray Shower
De Witt Clinton Park,M,M022-SPRAY0236,Spray Shower
100% Playground,B,B342-SPRAY0190,Spray Shower
Sol Bloom Playground,M,M244-SPRAY0341,Spray Shower
Msgr. McGolrick Park,B,B114-01-SPRAY058,Spray Shower
E.M.T. Christopher J. Prescott Playground,R,R085-SPRAY0559,Spray Shower
Flushing Meadows Corona Park,Q,Q099-16-SPRAY0403,Spray Shower
Brighton Playground,B,B169A-SPRAY088,Spray Shower
Alfred E. Smith Playground,M,M194-SPRAY0310,Spray Shower
Seton Falls Park,X,X046-01-SPRAY0596,Spray Shower
Athens Square,Q,Q436-SPRAY0721,Spray Shower
Challenge Playground,Q,Q346-SPRAY0478,Spray Shower
Murray Playground,Q,Q141-SPRAY0426,Spray Shower
Travers Park,Q,Q303-SPRAY0450,Spray Shower
Washington Park,X,X280-SPRAY0686,Spray Shower
Williamsbridge Oval,X,X104-03-SPRAY0610,Spray Shower
Briarwood Playground,Q,Q379-SPRAY0505,Spray Shower
Mazzei Playground,X,X157-SPRAY0639,Spray Shower
Marconi Park,Q,Q127-SPRAY0421,Spray Shower
Baruch Playground,M,M165-SPRAY0305,Spray Shower
Riverside Park,M,M071-16-SPRAY0268,Spray Shower
Berriman Playground,B,B541-SPRAY0775,Spray Shower
Electric Playground,Q,Q342-SPRAY0475,Spray Shower
Magenta Playground,X,X214-SPRAY0671,Spray Shower
North Rochdale Playground,Q,Q426-SPRAY0527,Spray Shower
Flynn Playground,X,X146-SPRAY0626,Spray Shower
John V. Lindsay East River Park,M,M144-01-SPRAY0298,Spray Shower
Devoe Park,X,X013-01-SPRAY0581,Spray Shower
Grady Playground,B,B275-SPRAY0150,Spray Shower
Stapleton Playground,R,R061-SPRAY0552,Spray Shower
Castle Hill Playground,X,X177-SPRAY0654,Spray Shower
Cunningham Park,Q,Q021-02-SPRAY0375,Spray Shower
Commodore Barry Park,B,B021-SPRAY09,Spray Shower
Fish Playground,B,B325-SPRAY0758,Spray Shower
Macneil Park,Q,Q009-01-SPRAY0364,Spray Shower
Sledge Playground,B,B097-SPRAY048,Spray Shower
Bloomingdale Playground,M,M238-SPRAY0337,Spray Shower
Albemarle Playground,B,B297-SPRAY0162,Spray Shower
Hunter's Point South Park,Q,Q471-01-SPRAY0720,Spray Shower
Albert J. Parham Playground,B,B253-SPRAY0135,Spray Shower
Schmul Park,R,R045-01-SPRAY0549,Spray Shower
Triborough Bridge Playground B,Q,Q066B-SPRAY0390,Spray Shower
Arverne Playground,Q,Q313-SPRAY0456,Spray Shower
Pena Herrera Playground,B,B210J-SPRAY0102,Spray Shower
Abraham Lincoln Playground,M,M193-SPRAY0309,Spray Shower
St. Michael's Playground,Q,Q174A-SPRAY0430,Spray Shower
Fort Tryon Park,M,M029-02-SPRAY0240,Spray Shower
Kissena Corridor Park,Q,Q300-02-SPRAY0445,Spray Shower
Nicholas Naquan Heyward Jr. Park,B,B230-SPRAY0117,Spray Shower
St. Mary's Park,B,B118B-SPRAY0767,Spray Shower
St. Nicholas Playground North,M,M211B-SPRAY0320,Spray Shower
Ocean Hill Playground,B,B144-SPRAY069,Spray Shower
Centreville Playground,Q,Q386-SPRAY0508,Spray Shower
Harding Park,X,X262-SPRAY0682,Spray Shower
Century Playground,B,B337-SPRAY0185,Spray Shower
Frontera Park,Q,Q360M-SPRAY0491,Spray Shower
Van Cortlandt Park,X,X092-05-SPRAY0600,Spray Shower
Goble Playground,X,X114-SPRAY0615,Spray Shower
Dutch Kills Playground,Q,Q218-SPRAY0435,Spray Shower
Bronx River Parkway,X,X004-01-SPRAY0573,Spray Shower
Peters Field,Q,Q351-SPRAY0482,Spray Shower
Bronx Park,X,X002-05-SPRAY0568,Spray Shower
Kissena Corridor Park,Q,Q300-03-SPRAY0446,Spray Shower
Gene Gray Playground,Q,Q456-SPRAY0536,Spray Shower
Williamsbridge Oval,X,X104-SPRAY0607,Spray Shower
East Elmhurst Playground,Q,Q373-SPRAY0501,Spray Shower
Friends Field,B,B372-SPRAY0707,Spray Shower
Merriam Playground,X,X153-01-SPRAY0635,Spray Shower
Coney Island Beach & Boardwalk,B,B169-ZN05B-SPRAY090,Spray Shower
Terrace Playground,R,R069-SPRAY0556,Spray Shower
Astoria Heights Playground,Q,Q014-SPRAY0728,Spray Shower
Crotona Park,X,X010-12-SPRAY0578,Spray Shower
Virginia Playground,X,X148L-SPRAY0630,Spray Shower
Maurice A FitzGerald Playground,Q,Q337-SPRAY0471,Spray Shower
Seton Park,X,X201-01-SPRAY0667,Spray Shower
Fort Independence Playground,X,X020-SPRAY0585,Spray Shower
London Planetree Playground,Q,Q128-SPRAY0422,Spray Shower
Kennedy King Playground,B,B304-SPRAY0166,Spray Shower
The Pearly Gates,X,X170-SPRAY0650,Spray Shower
Cooper Park,B,B025-01-SPRAY013,Spray Shower
Sheepshead Playground,B,B239-SPRAY0122,Spray Shower
Hollis Playground,Q,Q405-SPRAY0752,Spray Shower
Prospect Park,B,B073-20-SPRAY038,Spray Shower
Ramon Aponte Park,M,M288-SPRAY0349,Spray Shower
Vleigh Playground,Q,Q320-SPRAY0460,Spray Shower
Wolfe's Pond Park,R,R031-11-SPRAY0543,Spray Shower
Breukelen Ballfields,B,B247-SPRAY0127,Spray Shower
Gilbert Ramirez Park,B,B132-SPRAY0699,Spray Shower
John Hancock Playground,B,B237-SPRAY0121,Spray Shower
Howard Bennett Playground,M,M217-SPRAY0324,Spray Shower
Central Park,M,M010-176-SPRAY0221,Spray Shower
Galapo Playground,B,B209-SPRAY097,Spray Shower
Central Park,M,M010-247-SPRAY0228,Spray Shower
Bensonhurst Park,B,B007-01-SPRAY02,Spray Shower
Inwood Hill Park,M,M042-03-SPRAY0250,Spray Shower
Lopez Playground,R,R125-SPRAY0565,Spray Shower
Collect Pond Park,M,M242-SPRAY0779,Spray Shower
Jackie Robinson Playground,B,B357-SPRAY0198,Spray Shower
Pomonok Playground,Q,Q329-SPRAY0464,Spray Shower
Joseph C. Sauer Park,M,M113-SPRAY0292,Spray Shower
Northern Playground,Q,Q363-SPRAY0495,Spray Shower
Mullaly Park,X,X034-SPRAY0588,Spray Shower
Forest Park,Q,Q015-08-SPRAY0370,Spray Shower
Conch Playground,Q,Q394-SPRAY0716,Spray Shower
Van Cortlandt Park,X,X092-10-SPRAY0761,Spray Shower
Playground Seventy Five,Q,Q354-SPRAY0484,Spray Shower
Sean's Place,Q,Q444-SPRAY0533,Spray Shower
Pelham Bay Park,X,X039-06K-SPRAY0593,Spray Shower
Behagen Playground,X,X166-SPRAY0647,Spray Shower
Washington Square Park,M,M098-01-SPRAY0281,Spray Shower
Benninger Playground,Q,Q038-SPRAY0383,Spray Shower
Grove Hill Playground,X,X235-SPRAY0679,Spray Shower
Christopher J. Igneri Playground,R,R064-SPRAY0554,Spray Shower
Wayanda Park,Q,Q082-SPRAY0393,Spray Shower
Russell Sage Playground,Q,Q335-SPRAY0469,Spray Shower
Tudor Park,Q,Q094-01-SPRAY0398,Spray Shower
Jackie Robinson Park Playground,B,B294-SPRAY0159,Spray Shower
McKinley Park,B,B060-01-SPRAY029,Spray Shower
Owl's Head Park,B,B066-01-SPRAY031,Spray Shower
Rainbow Playground,B,B265-SPRAY0142,Spray Shower
Inwood Hill Park,M,M042-01-SPRAY0248,Spray Shower
Asser Levy Park,B,B080-01-SPRAY0763,Spray Shower
Bartlett Playground,B,B286-SPRAY0154,Spray Shower
Space Time Playground,X,X221-SPRAY0674,Spray Shower
Dr. Gertrude B. Kelly Playground,M,M066-SPRAY0262,Spray Shower
Walt Whitman Park,B,B113E-SPRAY0700,Spray Shower
Hart Playground,Q,Q419-SPRAY0523,Spray Shower
Surf Playground,B,B315-SPRAY0173,Spray Shower
Soundview Park,X,X118-01-SPRAY0618,Spray Shower
Tompkins Square Park,M,M088-01-SPRAY0279,Spray Shower
Fort Greene Park,B,B032-01-SPRAY017,Spray Shower
Queensbridge Park,Q,Q104-01-SPRAY0410,Spray Shower
Star Spangled Playground,B,B266-SPRAY0143,Spray Shower
Pearl St Playground,M,M378-SPRAY0778,Spray Shower
Captain Rivera Playground,X,X194-SPRAY0662,Spray Shower
Cedar Grove Beach,R,R016-01-SPRAY0712,Spray Shower
Athens Square,Q,Q436-SPRAY0722,Spray Shower
Rosemary's Playground,Q,Q398-SPRAY0514,Spray Shower
Tiger Playground,B,B307-SPRAY0168,Spray Shower
Hoyt Playground,Q,Q066F-SPRAY0391,Spray Shower
Watson Gleason Playground,X,X124-SPRAY0623,Spray Shower
Evergreen Playground,B,B332-SPRAY0183,Spray Shower
Highland Park,Q,Q020-01-SPRAY0750,Spray Shower
Stars & Stripes Playground,X,X193-SPRAY0661,Spray Shower
Kelly Park Playground,B,B051-SPRAY021,Spray Shower
Saratoga Park,B,B079-SPRAY041,Spray Shower
Riverside Park,M,M071-31-SPRAY0269,Spray Shower
Abigail Playground,X,X216-SPRAY0672,Spray Shower
Yelowstone Park,Q,Q425-SPRAY0751,Spray Shower
Sedgwick Playground,X,X158-SPRAY0640,Spray Shower
South Rochdale Playground,Q,Q427-SPRAY0528,Spray Shower
St. Nicholas Park,M,M077-04-SPRAY0274,Spray Shower
Scarangella Park,B,B106A-SPRAY054,Spray Shower
Harry Chapin Playground,B,B223H-SPRAY0111,Spray Shower
Riverside Park,M,M071-03-SPRAY0264,Spray Shower
Bergen Beach Playground,B,B353-SPRAY0197,Spray Shower
Louis Pasteur Park,Q,Q369-SPRAY0499,Spray Shower
Highbridge Park,M,M037-04-SPRAY0243,Spray Shower
Marine Park,B,B057-03-SPRAY025,Spray Shower
Newtown Playground,Q,Q041-SPRAY0384,Spray Shower
Bronx Park,X,X002-14-SPRAY0572,Spray Shower
Greenwood Playground,B,B130-SPRAY065,Spray Shower
Veterans Grove,Q,Q013-SPRAY0744,Spray Shower
Howard Von Dohlen Playground,Q,Q105-SPRAY0411,Spray Shower
Baisley Pond Park,Q,Q005-05-SPRAY0359,Spray Shower
Martin Luther Playground,B,B098-SPRAY049,Spray Shower
Louis Armstrong Playground,Q,Q415-SPRAY0522,Spray Shower
First Park,M,M124-SPRAY0294,Spray Shower
Franklin D. Roosevelt Boardwalk and Beach,R,R046-05-SPRAY0550,Spray Shower
Howard Playground,B,B260-SPRAY0138,Spray Shower
Gun Hill Playground,X,X161-SPRAY0642,Spray Shower
Bowne Playground,Q,Q308-SPRAY0455,Spray Shower
Herbert Von King Park,B,B088-SPRAY045,Spray Shower
Rockaway Beach Boardwalk,Q,Q163-21-SPRAY0428,Spray Shower
Moore Playground,M,M204-SPRAY0316,Spray Shower
Central Park,M,M010-169-SPRAY0220,Spray Shower
DiGilio Playground,B,B316-SPRAY0174,Spray Shower
P.O. Serrano Playground,X,X151-SPRAY0633,Spray Shower
Poor Richard's Playground,M,M230-SPRAY0331,Spray Shower
Playground Ninety,Q,Q362-SPRAY0494,Spray Shower
Kelly Park Playground,B,B157-SPRAY079,Spray Shower
Marc And Jason's Playground,B,B284-SPRAY0152,Spray Shower
Van Cortlandt Park,X,X092-26-SPRAY0759,Spray Shower
Aesop Park,R,R027A-SPRAY0710,Spray Shower
Jacob Joffe Fields,B,B324-SPRAY0777,Spray Shower
Margaret I. Carman Green - Weeping Beech,Q,Q022-SPRAY0378,Spray Shower
Greene Playground,B,B301-SPRAY0165,Spray Shower
Marcy Playground,B,B217-SPRAY0106,Spray Shower
Williamsbridge Oval,X,X104-02-SPRAY0609,Spray Shower
George Walker Jr. Park,B,B402-SPRAY0210,Spray Shower
Marcus Garvey Park,M,M058-07-SPRAY0258,Spray Shower
Equity Playground,Q,Q053-SPRAY0389,Spray Shower
Dome Playground,B,B151-SPRAY074,Spray Shower
Mosholu Playground,X,X197-SPRAY0665,Spray Shower
Alley Pond Park,Q,Q001-04-SPRAY0354,Spray Shower
Central Park,M,M010-059-SPRAY0214,Spray Shower
Bleecker Playground,M,M251-SPRAY0342,Spray Shower
Harvard Playground,Q,Q120-SPRAY0417,Spray Shower
Bedford Playground,B,B142-SPRAY0768,Spray Shower
Beach Channel Playground,Q,Q403-SPRAY0519,Spray Shower
Canarsie Park,B,B018-02-SPRAY0703,Spray Shower
Chelsea Park,M,M011-SPRAY0229,Spray Shower
Clark Playground,X,X200-SPRAY0666,Spray Shower
Mathews-Palmer Playground,M,M154-SPRAY0299,Spray Shower
Locust Manor Playground,Q,Q330-SPRAY0465,Spray Shower
Prospect Park,B,B073-09-SPRAY036,Spray Shower
Tremont Park,X,X010A-02-SPRAY0580,Spray Shower
Flushing Meadows Corona Park,Q,Q099-15-SPRAY0402,Spray Shower
Poseidon Playground,B,B169B-SPRAY089,Spray Shower
Arrochar Playground,R,R062-SPRAY0709,Spray Shower
Sara D. Roosevelt Park,M,M105-01-SPRAY0287,Spray Shower
Morningside Park,M,M056-02-SPRAY0255,Spray Shower
Boerum Park,B,B361-SPRAY0201,Spray Shower
Clove Lakes Park,R,R005-01-SPRAY0537,Spray Shower
Norelli-Hargreaves Playground,Q,Q220B-SPRAY0436,Spray Shower
Brookville Park Playground,Q,Q008-02-SPRAY0730,Spray Shower
Ehrenreich-Austin Playground,Q,Q304-SPRAY0451,Spray Shower
Jennifer's Playground,R,R114-SPRAY0563,Spray Shower
Stop & Go Playground,X,X281-SPRAY0687,Spray Shower
Tecumseh Playground,M,M219-SPRAY0326,Spray Shower
Bellevue South Park,M,M263-SPRAY0346,Spray Shower
Francis Lewis Playground,Q,Q381-SPRAY0506,Spray Shower
Haggerty Park,Q,Q359-SPRAY0489,Spray Shower
Sarsfield Playground,B,B207-SPRAY095,Spray Shower
Midland Playground,R,R038-SPRAY0548,Spray Shower
Asser Levy Playground,M,M164-SPRAY0304,Spray Shower
Simeone Park,Q,Q474-SPRAY0746,Spray Shower
West Playground,B,B252-SPRAY0134,Spray Shower
Robert E. Venable Park,B,B380-SPRAY0771,Spray Shower
Matthews Muliner Playground,X,X178-SPRAY0655,Spray Shower
