System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode,x,y
M255-DF0347,Activated,F,1,true,false,Out in Open,true,M255,James Madison Plaza,M255,,M-03,M,100039898,DRINKFTN,I,M255,F-James Madison Plaza,103,1,5,10038,984098.973059132,198465.550625219
M256-DF0019,Activated,Other,1,true,false,In Playground,true,M256,MacArthur Playground,M256,,M-06,M,100039259,DRINKFTN,I,M256,Other-MacArthur Playground,106,4,17,10017,993952.383470386,213427.244126975
M257-DF0206,Activated,A,1,true,false,"Under Tree, In Shade, In Playground",true,M257,Clement Clarke Moore Park,M257,,M-04,M,100039661,DRINKFTN,I,M257,A-Clement Clarke Moore Park,104,3,10,10011,983112.347407713,211289.908506646
M258-DF0321,Broken,A,1,true,false,Near Ballfield,true,M258,East River Playground,M258,,M-15,M,100039927,DRINKFTN,I,M258,A-East River Playground,111,8,23,10029,1001458.39306463,226822.944041565
M258-DF1016,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,M258,East River Playground,M258,,M-15,M,100043331,DRINKFTN,I,M258-BLG1586,Indoor Drinking Fountain-East River Playground-Park House,111,8,23,10029,1001448.94656121,226803.89257048
M258-DF1017,Activated,Food Prep Sink,1,,false,Indoor,false,M258,East River Playground,M258,,M-15,M,100043309,DRINKFTN,I,M258-BLG1586,Food Prep Sink-East River Playground-Park House,111,8,23,10029,1001448.94656121,226803.89257048
M259-DF0317,UnderConstruction,C,1,false,false,"Under Tree, In Playground, Near Ballfield",true,M259,McKinley Playground,M259,,M-03,M,100039818,DRINKFTN,I,M259,C-McKinley Playground,103,2,9,10009,988270.239650964,203205.816079065
M260-DF1018,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100043255,DRINKFTN,I,M260-BLG0648,Indoor Drinking Fountain-Chelsea Recreation Center,104,3,10,10001,983634.989407047,211901.190420553
M260-DF1019,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100043258,DRINKFTN,I,M260-BLG0648,Indoor Fountain-Chelsea Recreation Center,104,3,10,10001,983634.989407047,211901.190420553
M260-DF1020,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100043330,DRINKFTN,I,M260-BLG0648,Indoor Drinking Fountain-Chelsea Recreation Center,104,3,10,10001,983634.989407047,211901.190420553
M260-DF1021,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100043252,DRINKFTN,I,M260-BLG0648,Indoor Drinking Fountain-Chelsea Recreation Center,104,3,10,10001,983634.989407047,211901.190420553
M260-DF1022,Activated,Food Prep Sink,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100043285,DRINKFTN,I,M260-BLG0648,Food Prep Sink-Chelsea Recreation Center,104,3,10,10001,983634.989407047,211901.190420553
M260-DF1023,Activated,Food Prep Sink,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100043254,DRINKFTN,I,M260-BLG0648,Food Prep Sink-Chelsea Recreation Center,104,3,10,10001,983634.989407047,211901.190420553
M260-DF1024,Activated,Food Prep Sink,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100043283,DRINKFTN,I,M260-BLG0648,Food Prep Sink-Chelsea Recreation Center,104,3,10,10001,983634.989407047,211901.190420553
M260-DF1025,Activated,Food Prep Sink,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100043308,DRINKFTN,I,M260-BLG0648,Food Prep Sink-Chelsea Recreation Center,104,3,10,10001,983634.989407047,211901.190420553
M260-DF1077,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,M260,Chelsea Recreation Center,M260,,M-04,M,100042466,DRINKFTN,I,M260-BLG0648,Indoor Drinking Fountain-Chelsea Recreation Center,104,3,10,10001,983635.027792811,211901.232743307
M263-DF0031,Activated,Bottle Filler High Low,3,true,false,Just Outside Playground,true,M263,Bellevue South Park,M263,,M-06,M,100039255,DRINKFTN,I,M263,Bottle Filler High Low-Bellevue South Park,106,2,13,10016,990272.454478547,208785.60577248
M263-DF0032,Activated,E and Dog,2,true,false,In Playground,true,M263,Bellevue South Park,M263,,M-06,M,100039281,DRINKFTN,I,M263,E and Dog-Bellevue South Park,106,2,13,10016,990331.343468382,208971.416424483
M263-DF0033,Activated,E,1,true,false,Near Ballfield,true,M263,Bellevue South Park,M263,,M-06,M,100039205,DRINKFTN,I,M263,E-Bellevue South Park,106,2,13,10016,990266.668400883,208840.264783889
M264-DF0336,Activated,E,1,true,false,"Under Tree, In Playground",true,M264,Playground Eighty Nine LXXXIX,M264,,M-07,M,100039968,DRINKFTN,I,M264,E-Playground Eighty Nine LXXXIX,107,6,24,10024,992033.719984888,226651.861050397
M265-DF0015,Activated,A,1,true,false,Under Tree,true,M265,Vincent F. Albano Jr. Playground,M265,,M-06,M,100039236,DRINKFTN,I,M265,A-Vincent F. Albano Jr. Playground,106,2,13,10016,990175.399226471,209593.339721307
M265-DF0123,Activated,A,1,false,false,In Playground,true,M265,Vincent F. Albano Jr. Playground,M265,,M-06,M,100039436,DRINKFTN,I,M265,A-Vincent F. Albano Jr. Playground,106,2,13,10016,990228.633043885,209596.846932142
M270-DF0008,Activated,A,1,,false,"Near Ballfield, Just Outside Playground",true,M270,Dry Dock Playground,M270,,M-03,M,100037394,DRINKFTN,I,M270,A-Dry Dock Playground,103,2,9,10009,991113.372088059,203543.952869981
M270-DF0009,Activated,C,1,,false,"Under Tree, In Playground",true,M270,Dry Dock Playground,M270,,M-03,M,100037395,DRINKFTN,I,M270,C-Dry Dock Playground,103,2,9,10009,991090.836043894,203639.099005147
M270-DF0685,Broken,A,1,,true,,true,M270,Dry Dock Playground,M270,,M-03,M,100042348,DRINKFTN,I,M270,A-Dry Dock Playground,103,2,9,10009,990953.713286638,203551.557841643
M270-DF0907,Activated,CS Metal,1,,true,,true,M270,Dry Dock Playground,M270,,M-03,M,100042338,DRINKFTN,I,M270,CS metal-Dry Dock Playground,103,2,9,10009,991025.340111881,203531.003420814
M273-DF0412,Activated,A,1,false,true,"Under Tree, In Playground, Near Ballfield",true,M273,Wagner Houses Pool,M273,,M-11,M,100040003,DRINKFTN,I,M273,A-Wagner Houses Pool,111,8,25,10035,1002864.73769289,231351.356244564
M273-DF1026,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,M273,Wagner Houses Pool,M273,,M-11,M,100043753,DRINKFTN,I,M273-BLG1565,Indoor Drinking Fountain-Wagner Houses Pool-WAGNER POOL,111,8,25,10035,1002883.9164603,231413.879741564
M273-DF1027,Activated,Food Prep Sink,1,,false,Indoor,false,M273,Wagner Houses Pool,M273,,M-11,M,100043754,DRINKFTN,I,M273-BLG1566,Food Prep Sink-Wagner Houses Pool-WAGNER POOL,111,8,25,10035,1002865.34103813,231378.234799727
M273-DF1068,Activated,CS Metal,1,,false,,true,M273,Wagner Houses Pool,M273,,M-11,M,100043277,DRINKFTN,I,M273,CS Metal-Wagner Houses Pool,111,8,25,10035,1002794.91171705,231391.727226808
M273-DF1069,Activated,CS Metal,1,,false,,true,M273,Wagner Houses Pool,M273,,M-11,M,100043289,DRINKFTN,I,M273,CS Metal-Wagner Houses Pool,111,8,25,10035,1002799.12135431,231390.176048815
M273-DF1107,Activated,Water Cooler,1,,false,Indoor,false,M273,Wagner Houses Pool,M273,,M-11,M,100043759,DRINKFTN,I,M273-BLG1566,Water Cooler-Wagner Houses Pool-WAGNER POOL,111,8,25,10035,1002865.32036888,231378.280075222
M277-DF0138,Activated,A,1,true,false,"Under Tree, Near Ballfield, Just Outside Playground",true,M277,Hell's Kitchen Park,M277,,M-04,M,100039578,DRINKFTN,I,M277,A-Hell's Kitchen Park,104,3,18,10036,986305.485050305,217262.550104647
